id,radius,ra,dec,transparency,stellarradius
HD 126614,73.0961000,216.7005171,-5.1784093,0.083,1.09
HD 128356,26.1548000,219.2702793,-25.8031728,-0.444,0.85
HD 131496,131.8490000,223.3461495,18.2352618,0.991,4.30
HD 132406,70.7832000,224.2276121,53.3809615,0.26,1.35
HD 132563,105.1550000,224.5892892,44.0428571,0.374,1.30
HD 134606,26.7909000,228.8103897,-70.5203328,0.065,1.16
HD 134987,26.1804000,228.3675397,-25.3096721,0.255,1.25
HD 135694,73.8713000,227.8678636,71.8412965,0.039,1.07
HD 136352,14.6820000,230.4401147,-48.3188174,0.034,1.01
HD 136418,105.1680000,229.7756438,41.7324230,0.833,3.40
HD 137388,40.4841000,233.9150820,-80.2044169,-0.337,0.82
HD 13908,79.5515000,34.5609102,65.5941901,0.602,1.67
HD 13931,47.3963000,34.1979991,43.7722065,0.196,1.23
HD 1397,79.5702000,4.4471631,-66.3589285,0.635,2.34
HD 14067,142.0240000,34.2933480,23.7676546,1.898,12.40
HD 141399,37.0169000,236.7235392,46.9862880,0.201,1.46
HD 141937,33.3622000,238.0735585,-18.4359716,0.022,0.99
HD 142245,97.2305000,238.2342443,15.4306118,1.13,5.20
HD 143361,68.5146000,240.4588405,-44.4350575,-0.092,0.99
HD 145377,53.4884000,242.9019658,-27.0781199,0.193,1.14
HD 145457,135.2920000,242.5162215,26.7429068,1.655,9.90
HD 1461,23.4534000,4.6762645,-8.0536206,0.095,1.13
HD 147379,10.7643000,244.1725686,67.2392041,-1.097,0.57
HD 147873,109.0550000,246.4380471,-33.5672217,0.777,2.29
HD 148156,57.1289000,247.0723035,-46.3175085,0.25,1.21
HD 148164,77.1971000,246.4351678,11.9190729,0.33,1.34
HD 148427,71.3499000,247.1171311,-13.3996231,0.78,3.22
HD 149026,75.8643000,247.6229827,38.3475349,0.386,1.37
HD 149143,73.2801000,248.2126715,2.0844547,0.378,1.49
HD 150010,144.4900000,247.8670682,72.6125804,1.982,16.20
HD 1502,190.9530000,4.8214389,14.0546830,1.064,4.50
HD 152079,87.8888000,253.3732313,-46.3333582,0.107,1.15
HD 152581,165.7600000,253.4316451,11.9736828,1.173,4.80
HD 15337,44.8155000,36.8678846,-27.6361171,-0.326,0.84
HD 153950,48.4549000,256.1292826,-43.3103753,0.346,1.34
HD 154345,18.2840000,255.6524619,47.0855544,-0.219,0.87
HD 154391,100.9470000,255.3201345,60.6489226,1.581,8.56
HD 154672,63.0484000,257.5206970,-56.4498041,0.281,1.44
HD 154857,63.4482000,257.8161940,-56.6810380,0.663,2.27
HD 156411,56.8655000,259.9639522,-48.5502313,0.731,2.16
HD 156668,24.3323000,259.4183491,29.2281610,0.23,0.72
HD 158038,94.8625000,261.4395312,27.3030721,1.076,4.80
HD 158996,283.6590000,259.9051092,80.1364033,3.015,50.30
HD 15906,45.5621000,38.2712534,-10.3521780,-0.569,0.76
HD 159243,73.3055000,263.3395365,5.7008254,0.114,1.12
HD 159868,55.8503000,264.7466665,-43.1462347,0.556,2.06
HD 1605,88.8047000,5.1317548,30.9750611,0.82,3.80
HD 160691,15.5981000,266.0361585,-51.8348751,0.278,1.38
HD 161178,107.1880000,264.2873565,72.4558590,1.751,10.95
HD 163607,67.7855000,268.4181383,56.3924701,0.362,1.63
HD 164509,53.1119000,270.3800811,0.1044685,0.061,1.06
HD 164922,22.0016000,270.6304652,26.3104077,-0.149,0.95
HD 165155,63.3574000,271.4893395,-29.9172536,-0.155,0.95
HD 1666,117.9080000,5.2180424,-19.9314823,0.73,1.93
HD 167042,49.6633000,272.6326268,54.2876184,1.057,4.63
HD 167768,107.2140000,274.2213308,-3.0085807,1.669,9.70
HD 168443,39.6245000,275.0159879,-9.5966905,0.382,1.68
HD 1690,752.6150000,5.3055886,-8.2811442,1.52,16.70
HD 170469,60.1780000,277.2955423,11.6954244,0.204,1.22
HD 171238,44.8113000,278.6818389,-28.0727849,-0.09,1.01
HD 17156,78.0863000,42.4366123,71.7530882,0.39,1.47
HD 173416,132.1840000,280.9005676,36.5568570,1.892,13.50
HD 174205,234.0270000,280.7932014,70.7928237,2.378,26.60
HD 175541,129.6030000,283.9203211,4.2649344,0.934,3.80
HD 176986,27.7843000,285.7739138,-11.0449410,-0.48,0.78
HD 177830,62.7674000,286.3363574,25.9204327,0.685,2.62
HD 179079,69.7116000,287.7903733,-2.6387703,0.38,1.63
HD 180314,122.3620000,288.7094401,31.8604391,1.643,9.20
HD 180617,5.9105900,289.2277322,5.1631615,-1.487,0.45
HD 180902,104.5770000,289.8239604,-23.5582432,0.973,4.10
HD 181342,120.3910000,290.2674078,-23.6196996,1.176,5.12
HD 181433,26.8762000,291.2873731,-66.4677838,-0.456,0.81
HD 181720,60.2046000,290.7212224,-32.9208401,0.288,1.39
HD 183263,54.1955000,292.1022982,8.3579183,0.25,1.29
HD 183579,57.2651000,293.2866147,-54.5327284,-0.034,0.96
HD 184010,60.7993000,292.8401421,26.6172796,1.117,4.86
HD 18438,224.1460000,46.5318358,79.4185800,2.968,88.47
HD 18599,38.5653000,44.2620144,-56.1918694,-0.429,0.77
HD 187123,45.9548000,296.7428786,34.4189900,0.127,1.15
HD 18742,162.6850000,45.0443115,-20.8027024,1.143,4.90
HD 189733,19.7638000,300.1821223,22.7097759,-0.461,0.78
HD 190007,12.7141000,300.6956339,3.3266992,-0.68,0.79
HD 190360,16.0069000,300.9092476,29.8945410,0.053,1.13
HD 190984,148.1870000,302.8779827,-64.6202728,0.43,1.53
HD 191939,53.6089000,302.0256247,66.8503014,-0.161,0.94
HD 192310,8.7968700,303.8284712,-27.0337556,0.34,0.73
HD 192699,71.8627000,304.0248392,4.5805708,1.009,3.90
HD 195019,37.6681000,307.0792427,18.7692509,0.333,1.48
HD 196067,39.9346000,310.4364195,-75.3514992,0.572,1.73
HD 19615,265.1550000,48.7813299,73.8680150,2.515,32.30
HD 196885 A,34.1692000,309.9664609,11.2500236,0.428,1.43
HD 200964,72.5922000,316.6664183,3.8033357,1.064,4.30
HD 202696,188.5460000,319.2250346,27.2582799,1.369,6.43
HD 202772 A,161.4980000,319.6995877,-26.6163743,0.971,2.59
HD 20329,63.6796000,49.1781240,15.6563542,0.049,1.13
HD 204941,28.7165000,323.0966714,-20.9579570,-0.509,0.72
HD 205739,92.5087000,324.5351273,-31.7378373,0.36,1.33
HD 206610,147.1920000,325.8537599,-7.4082451,1.276,6.10
HD 20782,35.9864000,50.0166232,-28.8543535,0.107,1.13
HD 207832,58.9291000,328.1517893,-26.0271749,-0.112,0.90
HD 207897,28.2938000,325.2016451,84.3337613,-0.421,0.78
HD 20868,47.7223000,50.1794053,-33.7296900,-0.529,0.79
HD 208897,67.4872000,329.7490639,19.0201591,1.09,4.98
HD 209458,48.3016000,330.7950219,18.8842419,0.252,1.20
HD 210702,54.1963000,332.9638643,16.0404806,1.035,4.54
HD 211810,64.6353000,334.5286724,61.1349912,0.07,1.13
HD 212771,111.1550000,336.7624130,-17.2641046,1.188,5.00
HD 213885,48.0883000,338.9837166,-59.8648290,0.139,1.10
HD 214823,101.3680000,340.0832062,31.7875183,0.67,2.04
HD 21520,79.2080000,51.6403449,-43.6136649,0.066,1.04
HD 216520,19.5520000,341.8768719,83.6975307,-0.452,0.76
